start_date,end_date
"12 September 2017,
21:17:02 UTC",28 February 2018 02:31 UTC
"15 May 2012, 03:01:23 UTC","17 September 2012, 02:53 UTC"
"March 15, 2009, 23:43 UTC","March 28, 2009, 19:13 UTC"
"July 29, 1985, 21:00:00 UTC","August 6, 1985, 19:45:26 UTC"
"August 8, 1989, 12:37:00 UTC","August 13, 1989, 13:37:08 UTC"
"August 2, 1991, 15:02:00 UTC","August 11, 1991, 12:23:25 UTC"
"2 December 1990, 08:13:32 UTC","26 May 1991, 10:04:13 UTC"
"January 8, 1994, 10:05:34 UTC","July 9, 1994, 10:32:35 UTC"
"February 20, 1999, 04:18:01 UTC","August 28, 1999, 00:34:20 UTC"
"October 21, 2001, 08:59:35 UTC","October 31, 2001, 05:00:00 UTC"
"	2 September 2015
04:37:42 UTC","12 September 2015
00:51 UTC"
"October 6, 1990, 11:47:15 UTC","October 10, 1990, 13:57:19 UTC"
"May 7, 1992, 23:40:00 UTC","May 16, 1992, 20:57:39 UTC"
"December 2, 1993, 09:27:00 UTC","December 13, 1993, 05:25:33 UTC"
"16 September 1996, 08:54:49 UTC","26 September 1996, 12:13:13 UTC"
"2 December 1990, 08:13:32 UTC","10 December 1990, 06:08:12 UTC"
"	15 September 1976,
09:48:30 UTC","23 September 1976,
07:40:47 UTC"
"June 5, 1980, 14:19:30 UTC","June 9, 1980, 12:39:00 UTC"
"25 September 2019
13:57:42 UTC","3 October 2019, 10:59 UTC"
"June 17, 1985, 11:33:00 UTC","June 24, 1985, 13:11:52 UTC"
"July 16, 1969, 13:32:00 UTC","July 24, 1969, 16:50:35 UTC"
"November 11, 1966, 20:46:33 UTC","November 15, 1966, 19:21:04 UTC"
"27 June 1983, 09:12:00 UTC","23 November 1983, 19:58:00 UTC"
"22 July 1987, 01:59:17 UTC","29 December 1987, 09:16:15 UTC"
"7 June 1988, 14:03:13 UTC","17 June 1988, 10:12:32 UTC"
"July 31, 1992, 13:56:48 UTC","August 8, 1992, 13:11:50 UTC"
"4 March 1994, 13:53:01 UTC","18 March 1994, 13:10:42 UTC"
"22 February 1996, 20:18:00 UTC","9 March 1996, 13:58:22 UTC"
"November 11, 1982, 11:19:00 UTC","November 16, 1982, 14:33:26 UTC"
"November 8, 1984, 12:15:00 UTC","November 16, 1984, 11:59:56 UTC"
"31 March 2022, 13:57:55 UTC","31 March 2022, 14:07:59 UTC"
"21 May 2023, 21:37:09 UTC","31 May 2023, 03:04 UTC"
"8 September 2000, 12:45:47 UTC","20 September 2000, 07:56 UTC"
1 March 2002 11:22:02 UTC,12 March 2002 09:33:10 UTC
"May 11, 2009, 18:01:56 UTC","May 24, 2009, 15:39:05 UTC"
17 April 1998 18:19 UTC,3 May 1998 16:09 UTC
"December 21, 1968, 12:51:00 UTC","December 27, 1968, 15:51:42 UTC"
"June 8, 2007, 23:38:04 UTC","November 7, 2007, 18:01:18 UTC"
"April 5, 2010, 10:21:22 UTC","April 20, 2010, 13:08:35 UTC"
"January 16, 2003 15:39:00 UTC","February 1, 2003, 13:59:32 UTC"
"23 January 1998, 02:48:15 UTC","31 January 1998, 22:36 UTC"
"19 May 2024, 14:35:09 UTC","19 May 2024, 14:45:02 UTC"
"18 September 2006, 04:08 UTC","September 29, 2006, 01:13 UTC"
"March 15, 2009, 23:43 UTC","March 28, 2009, 19:13 UTC"
"May 14, 2010, 18:20 UTC","May 26, 2010, 12:49:18 UTC"
"April 5, 1991, 14:22:45 UTC","April 11, 1991, 13:55:29 UTC"
"September 12, 1992, 14:23:00 UTC","September 20, 1992, 12:53:24 UTC"
"9 April 1994, 11:05 UTC","20 April 1994, 16:55 UTC"
"16 September 1996, 08:54:49 UTC","26 September 1996, 12:13:13 UTC"
"16 September 2021, 00:02:56 UTC","18 September 2021, 23:06:49 UTC"
"June 8, 2007, 23:38:04 UTC","June 22, 2007, 19:49:38 UTC"
"March 15, 2009, 23:43 UTC","March 28, 2009, 19:13 UTC"
"July 16, 1969, 13:32:00 UTC","July 24, 1969, 16:50:35 UTC"
"March 16, 1966, 16:41:02 UTC","March 17, 1966, 03:22:28 UTC"
"21 March 2018, 17:44 UTC","4 October 2018, 11:45 UTC"
"March 15, 2009, 23:43 UTC","March 28, 2009, 19:13 UTC"
